,<function Mordified_DE at 0x000001D6DCE9A050>,<function Original_DE at 0x000001D6DCE9AB90>,<function Original_DE_2 at 0x000001D6DCE9ACB0>,<function Original_DE_3 at 0x000001D6DCE9AD40>
sphare,-0.6518711216270444,-0.7014491736507514,-0.7005433805161871,-0.6974901213402149
Rastrigin,-0.5909932506437694,-0.6482774856711814,-0.6435300090745347,-0.6396905193023944
Ackley,-0.5827569933690844,-0.6053791226804706,-0.5979848419005768,-0.5703698162077785
Rosenbrock,-0.18825662969899287,-0.4194877265882,0.4904184979959225,0.1730802141186027
Beale,-0.6580267676518841,-0.7097528387803961,-0.7113789370433915,-0.6602605802696886
Goldstein_Price,2.33602962814702,2.3084429265639854,2.3148750682139094,2.317241916777712
bohachevsky,-0.6655968575863812,-0.693495312338186,-0.6888605861866453,-0.6833299624723271
booth,-0.6868763789943536,-0.7142030871843507,-0.7223757277762973,-0.7170023749540877
matyas,-0.6829017858127496,-0.7087434976546884,-0.7227162233389071,-0.7226054903771784
zakharov,-6.835784606623596,-6.870302265768021,-6.870971893931514,-6.869119508768698
six_hump,-1.7142211835785774,-1.7426861615254827,-1.7369190554226452,-1.7358166112680729
